condado,numero_sectores,poblacion_total
Chemung,22,88830
Chenango,12,50477
Cherokee,83,454628
Cherry,2,5713
Chesapeake,41,222209
Cheshire,16,77117
Chester,130,549157
Chesterfield,81,362970
Cheyenne,5,14560
Chickasaw,8,29831
Chicot,4,11800
Childress,2,7041
Chilton,9,43643
Chippewa,29,113376
Chisago,10,53887
Chittenden,35,156545
Choctaw,12,37611
Chouteau,2,5813
Chowan,3,14793
Christian,43,186177
Churchill,7,24877
Cibola,7,27213
Cimarron,2,2475
Citrus,27,141236
Clackamas,80,375992
Claiborne,17,59012
Clallam,22,71404
Clare,11,30926
Clarendon,12,34971
Clarion,10,39988
Clark,694,2748857
Clarke,49,182599
Clatsop,12,37039
Clay,140,672264
Clayton,56,277553
Clear Creek,3,9088
Clearfield,20,81642
Clearwater,5,17456
Cleburne,11,40942
Clermont,40,197363
Cleveland,86,362522
Clinch,2,6798
Clinton,94,389905
Cloud,4,9533
Coahoma,7,26151
Coal,2,5925
Cobb,120,688078
Cochise,32,131346
Cochran,1,3127
Cocke,9,35662
Coconino,28,134421
Codington,7,27227
Coffee,35,145100
Coffey,3,8601
Coke,2,3320
Colbert,14,54428
Cole,15,75990
Coleman,3,8895
Coles,12,53873
Colfax,6,24265
Colleton,10,38892
Collier,73,321520
Collin,152,782341
Collingsworth,1,3057
Colonial Heights,5,17411
Colorado,5,20874
Colquitt,10,45498
Columbia,96,456789
Columbiana,24,107841
Columbus,13,58098
Colusa,5,21419
Comal,24,108472
Comanche,37,139963
Concho,1,4087
Concordia,5,20822
Conecuh,5,13228
Conejos,2,8256
Contra Costa,208,1049025
Converse,4,13833
Conway,6,21273
Cook,1325,5217063
Cooke,8,38437
Cooper,5,17601
Coos,24,96098
Coosa,3,11539
Copiah,6,29449
Corson,2,4050
Cortland,12,49336
Coryell,19,75388
Coshocton,10,36901
Costilla,2,3524
Cottle,1,1505
Cotton,2,6193
Cottonwood,4,11687
Covington,20,63294
Coweta,20,127317
Cowley,11,36311
Cowlitz,24,102410
Craig,6,20219
Craighead,17,96443
Crane,1,4375
Craven,21,103505
Crawford,92,349301
Creek,21,69967
Crenshaw,6,13906
Crisp,6,23439
Crittenden,24,60217
Crockett,6,18305
Crook,6,28061
Crosby,3,6059
Cross,6,17870
Crow Wing,16,62500
Crowley,1,5823
Culberson,1,2398
Cullman,18,80406
Culpeper,8,46689
Cumberland,240,1077418
Cuming,3,9139
Currituck,8,23547
Curry,18,70740
Custer,19,66946
Cuyahoga,447,1280122
Dade,6,24516
Daggett,1,1059
Dakota,99,419558
Dale,14,50251
Dallam,2,6703
Dallas,565,2502987
Dane,107,488073
Daniels,1,1751
Danville,16,43055
Dare,11,33920
Darke,12,52959
Darlington,16,68681
Dauphin,65,268100
Davidson,195,789559
Davie,7,41240
Daviess,32,136737
Davis,56,315232
Davison,4,19504
Dawes,2,9182
Dawson,17,69455
Day,3,5710
De Baca,1,2022
De Soto,7,26656
De Witt,5,16561
DeKalb,195,942000
DeSoto,42,196114
DeWitt,5,20097
Deaf Smith,4,19372
Dearborn,10,50047
Decatur,22,76757
Deer Lodge,3,9298
Defiance,9,39037
Del Norte,7,28610
Delaware,236,958095
Delta,20,73252
Denali,1,1826
Dent,4,15657
Denton,137,662614
Denver,144,600158
Des Moines,11,40325
Deschutes,24,157733
Desha,5,13008
Deuel,3,6305
Dewey,5,10111
Dickens,1,2444
Dickenson,4,15903
Dickey,3,5289
Dickinson,18,62589
Dickson,10,49666
Dillingham,2,4847
Dillon,6,32062
Dimmit,2,9996
Dinwiddie,7,28001
District of Columbia,179,601723
Divide,1,2071
Dixie,3,16422
Dixon,2,6000
Doddridge,2,8202
Dodge,40,167333
Dolores,1,2064
Dona Ana,41,209233
Doniphan,3,7945
Donley,2,3677
Dooly,3,14918
Door,9,27785
Dorchester,35,169173
Dougherty,27,94565
Douglas,336,1355733
Drew,5,18509
DuPage,216,916924
Dubois,7,41889
Dubuque,26,93653
Duchesne,3,18607
Dukes,4,16535
Dundy,1,2008
Dunklin,10,31953
Dunn,9,47393
Duplin,11,58505
Durham,60,267587
Dutchess,79,297488
Duval,176,876045
Dyer,8,38335
Eagle,14,52197
Early,5,11008
East Baton Rouge,92,440171
East Carroll,3,7759
East Feliciana,5,20267
Eastland,5,18583
Eaton,28,107759
Eau Claire,20,98736
Echols,2,4034
Ector,28,137130
Eddy,13,56214
Edgar,5,18576
Edgecombe,14,56552
Edgefield,6,26985
Edmonson,4,12161
Edmunds,2,4071
Edwards,6,11760
Effingham,18,86492
El Dorado,43,181058
El Paso,291,1422910
Elbert,12,43252
Elk,10,34828
Elkhart,36,197559
Elko,14,48818
Elliott,2,7852
Ellis,39,182213
Ellsworth,2,6497
Elmore,20,106341
Emanuel,6,22598
Emery,3,10976
Emmet,12,42996
Emmons,1,3550
Emporia,2,5927
Erath,8,37890
Erie,328,1276685
Escambia,80,335938
Esmeralda,1,783
Essex,392,1583955
Estill,4,14672
Etowah,30,104430
Eureka,1,1987
Evangeline,8,33984
Evans,3,11000
Fairbanks North Star,19,97581
Fairfax,258,1081726
Fairfax City,5,22565
Fairfield,244,1086941
Fall River,2,7094
Fallon,1,2890
Falls,6,17866
Falls Church,3,12332
Fannin,14,57597
Faribault,6,14553
Faulk,1,2364
Faulkner,25,113237
Fauquier,17,65203
Fayette,201,761550
Fentress,4,17959
Fergus,2,11586
Ferry,3,7551
Fillmore,8,26756
Finney,12,36776
Fisher,2,3974
Flagler,20,95696
Flathead,19,90928
Fleming,4,14348
Florence,35,141308
Floyd,60,248374
Fluvanna,4,25691
Foard,1,1336
Fond du Lac,20,101633
Ford,12,47929
Forest,7,17020
Forrest,17,74934
Forsyth,138,526181
Fort Bend,76,585375
Foster,1,3343
Fountain,5,17240
Franklin,495,2139570
Franklin City,2,8582
Frederick,75,311690
Fredericksburg,6,24286
Freeborn,10,31255
Freestone,7,19816
Fremont,30,107630
Fresno,199,930450
Frio,3,17217
Frontier,1,2756
Fulton,253,1110618
Furnas,1,4959
Gadsden,9,46389
Gage,7,22311
Gaines,3,17526
Galax,2,7042
Gallatin,26,103691
Gallia,7,30934
Galveston,67,291309
Garden,1,2057
Garfield,28,127662
Garland,20,96024
Garrard,4,16912
Garrett,7,30097
Garvin,9,27576
Garza,1,6461
Gasconade,5,15222
Gaston,65,206086
Gates,3,12197
Geary,8,34362
Geauga,21,93389
Gem,3,16719
Genesee,146,485869
Geneva,6,26790
Gentry,2,6738
George,5,22578
Georgetown,15,60158
Gibson,21,83186
Gila,16,53597
Gilchrist,5,16939
Giles,12,46771
Gillespie,5,24837
Gilliam,1,1871
Gilmer,7,36985
Gilpin,1,5441
Glacier,4,13399
Glades,4,12884
Gladwin,9,25692
Glascock,1,3082
Glasscock,1,1226
Glenn,6,28122
Gloucester,71,325146
Glynn,15,79626
Gogebic,7,16427
Golden Valley,2,2564
Goliad,2,7210
Gonzales,6,19807
Goochland,5,21717
Goodhue,10,46183
Gooding,2,15464
Gordon,9,55186
Goshen,4,13249
Gosper,1,2044
Gove,2,2695
Grady,16,77442
Grafton,19,89118
Graham,14,48678
Grainger,5,22657
Grand,5,24068
Grand Forks,18,66861
Grand Isle,2,6970
Grand Traverse,16,86986
Granite,1,3079
Grant,80,352847
Granville,13,59916
Gratiot,10,42476
Graves,9,37121
Gray,9,28541
Grays Harbor,17,72797
Grayson,38,162156
Greeley,2,3785
Green,12,48100
Green Lake,6,19051
Greenbrier,7,35480
Greene,182,771166
Greenlee,3,8437
Greensville,3,12243
Greenup,9,36910
Greenville,111,451225
Greenwood,17,76350
Greer,2,6239
Gregg,25,121730
Gregory,2,4271
