condado,numero_sectores,poblacion_total
Prentiss,5,25276
Presidio,2,7818
Presque Isle,6,13376
Preston,8,33520
Price,6,14159
Prince Edward,5,23368
Prince George,7,35725
Prince George's,218,863420
Prince William,83,402002
Prince of Wales-Hyder,4,5559
Providence,141,626667
Prowers,5,12551
Pueblo,55,159063
Pulaski,137,564530
Pushmataha,3,11572
Putnam,84,406546
Quay,3,9041
Queen Anne's,12,47798
Queens,669,2230722
Quitman,4,10736
Rabun,5,16276
Racine,44,195408
Radford,3,16408
Rains,2,10914
Raleigh,17,78859
Ralls,3,10167
Ramsey,140,520091
Randall,29,120725
Randolph,70,304819
Rankin,27,141617
Ransom,3,5457
Rapides,33,131613
Rappahannock,2,7373
Ravalli,10,40212
Rawlins,1,2519
Ray,4,23494
Reagan,1,3367
Real,1,3309
Red Lake,2,4089
Red River,6,21951
Red Willow,3,11055
Redwood,6,16059
Reeves,5,13783
Refugio,2,7383
Reno,17,64511
Rensselaer,42,159429
Renville,7,18200
Republic,3,4980
Reynolds,2,6696
Rhea,6,31809
Rice,16,74225
Rich,1,2264
Richardson,3,8363
Richland,145,590025
Richmond,169,725172
Richmond City,66,204214
Riley,14,71115
Ringgold,2,5131
Rio Arriba,9,40246
Rio Blanco,2,6666
Rio Grande,3,11982
Ripley,10,42918
Ritchie,3,10449
Riverside,453,2189641
Roane,15,69107
Roanoke,18,92376
Roanoke City,23,97032
Roberts,5,11078
Robertson,20,85187
Robeson,31,134168
Rock,42,171544
Rock Island,40,147546
Rockbridge,4,22307
Rockcastle,4,17056
Rockdale,15,85215
Rockingham,106,465180
Rockland,65,311687
Rockwall,11,78337
Roger Mills,1,3647
Rogers,28,86905
Rolette,4,13937
Rooks,2,5181
Roosevelt,8,30271
Roscommon,10,24449
Roseau,5,15629
Rosebud,4,9233
Ross,17,78064
Routt,8,23509
Rowan,34,161761
Runnels,4,10501
Rush,7,20699
Rusk,18,68085
Russell,27,106379
Rutherford,62,330414
Rutland,20,61642
Sabine,10,35067
Sac,4,10350
Sacramento,317,1418788
Sagadahoc,8,35293
Saginaw,56,200169
Saguache,2,6108
Salem,29,90885
Saline,54,225207
Salt Lake,212,1029655
Saluda,5,19875
Sampson,11,63431
San Augustine,3,8865
San Benito,11,55269
San Bernardino,369,2035210
San Diego,628,3095313
San Francisco,196,805235
San Jacinto,4,26384
San Joaquin,139,685306
San Juan,43,161258
San Luis Obispo,53,269637
San Mateo,158,718451
San Miguel,11,36752
San Patricio,16,64804
San Saba,2,6131
Sanborn,1,2355
Sanders,3,11413
Sandoval,28,131561
Sandusky,15,60944
Sangamon,53,197465
Sanilac,12,43114
Sanpete,5,27822
Santa Barbara,90,423895
Santa Clara,372,1781642
Santa Cruz,62,309802
Santa Fe,50,144170
Santa Rosa,25,151372
Sarasota,94,379448
Saratoga,50,219607
Sargent,2,3829
Sarpy,43,158840
Sauk,13,61976
Saunders,5,20780
Sawyer,6,16557
Schenectady,43,154727
Schleicher,1,3461
Schley,2,5010
Schoharie,8,32749
Schoolcraft,3,8485
Schuyler,10,30318
Schuylkill,40,148289
Scioto,20,79499
Scotland,9,41000
Scott,120,500890
Scotts Bluff,11,36970
Screven,5,14593
Scurry,4,16921
Searcy,3,8195
Sebastian,26,125744
Sedgwick,125,500744
Seminole,98,456929
Seneca,24,91996
Sequatchie,3,14112
Sequoyah,9,42391
Sevier,27,127749
Seward,9,39702
Shackelford,1,3378
Shannon,5,22027
Sharkey,2,4916
Sharp,4,17264
Shasta,48,177223
Shawano,11,41949
Shawnee,43,177934
Sheboygan,26,115507
Shelby,317,1325013
Shenandoah,9,41993
Sherburne,11,88499
Sheridan,13,41846
Sherman,5,13961
Shiawassee,17,70648
Shoshone,3,12765
Sibley,4,15226
Sierra,5,15228
Silver Bow,8,34200
Simpson,9,44830
Sioux,10,39168
Siskiyou,14,44900
Sitka,2,8881
Skagit,30,116901
Skagway,1,968
Skamania,5,11066
Slope,1,727
Smith,51,249224
Smyth,9,32208
Snohomish,151,713335
Snyder,8,39702
Socorro,6,17866
Solano,96,413344
Somerset,114,479884
Somervell,2,8490
Sonoma,99,483878
Southampton,5,18570
Southeast Fairbanks,2,7029
Spalding,12,64073
Spartanburg,69,284307
Spencer,9,38013
Spink,3,6415
Spokane,105,471221
Spotsylvania,30,122397
St. Bernard,18,35897
St. Charles,92,413265
St. Clair,125,526494
St. Croix,14,84345
St. Francis,6,28258
St. Francois,11,65359
St. Helena,2,11203
St. James,7,22102
St. John the Baptist,11,45924
St. Johns,40,190039
St. Joseph,92,328226
St. Landry,19,83384
St. Lawrence,28,111944
St. Louis,265,1199180
St. Louis City,106,319294
St. Lucie,44,277789
St. Martin,11,52160
St. Mary,16,54650
St. Mary's,18,105151
St. Tammany,43,233740
Stafford,29,133398
Stanislaus,94,514453
Stanley,1,2966
Stanly,13,60585
Stanton,3,8364
Stark,96,405779
Starke,7,23363
Starr,15,60968
Staunton,6,23746
Ste. Genevieve,4,18145
Stearns,29,150642
Steele,9,38551
Stephens,19,80853
Stephenson,13,47711
Sterling,1,1143
Steuben,39,133175
Stevens,17,58981
Stewart,7,19382
Stillwater,3,9117
Stoddard,8,29968
Stokes,9,47401
Stone,12,62382
Stonewall,1,1490
Storey,1,4010
Story,20,89542
Strafford,25,123143
Stutsman,6,21100
Sublette,2,10247
Suffolk,554,2299958
Sullivan,83,312729
Sully,1,1373
Summers,4,13927
Summit,153,606099
Sumner,48,184777
Sumter,54,247458
Sunflower,7,29450
Surry,24,80731
Susquehanna,11,43356
Sussex,100,358497
Sutter,21,94737
Sutton,1,4128
Suwannee,7,41551
Swain,5,13981
Sweet Grass,1,3651
Sweetwater,12,43806
Swift,4,9783
Swisher,3,7854
Switzerland,3,10613
Talbot,13,44647
Taliaferro,1,1717
Talladega,22,82291
Tallahatchie,4,15378
Tallapoosa,10,41616
Tama,6,17767
Taney,10,51675
Tangipahoa,20,121097
Taos,6,32937
Tarrant,357,1809034
Tate,5,28886
Tattnall,5,25520
Taylor,63,231395
Tazewell,41,180472
Tehama,11,63463
Telfair,3,16500
Teller,6,23350
Tensas,3,5252
Terrebonne,21,111860
Terrell,5,10299
Terry,3,12651
Teton,8,37537
Texas,9,46648
Thayer,2,5228
Thomas,14,53267
Throckmorton,1,1641
Thurston,51,259204
Tift,9,40118
Tillamook,8,25250
Tillman,5,7992
Tioga,20,93106
Tippah,4,22232
Tippecanoe,37,172780
Tipton,17,77017
Tishomingo,4,19593
Titus,8,32334
Todd,14,46967
Tolland,29,152691
Tom Green,25,110224
Tompkins,23,101564
Tooele,11,58218
Toole,3,5324
Toombs,6,27223
Torrance,4,16383
Towner,1,2246
Towns,3,10471
Traill,4,8121
Transylvania,7,33090
Traverse,2,3558
Travis,218,1024266
Treasure,1,718
Trego,1,3001
Trempealeau,8,28816
Treutlen,2,6885
Trigg,5,14339
Trimble,2,8809
Trinity,10,28371
Tripp,2,5644
Troup,14,67044
Trousdale,2,7870
Trumbull,55,210312
Tucker,3,7141
Tulare,78,442179
Tulsa,175,603403
Tunica,3,10778
Tuolumne,11,55365
Turner,4,17277
Tuscaloosa,47,194656
Tuscarawas,21,92582
Tuscola,13,55729
Twiggs,2,9023
Twin Falls,14,77230
Tyler,8,30974
Tyrrell,1,4407
Uinta,3,21118
Uintah,6,32588
Ulster,47,182493
Umatilla,15,75889
Unicoi,4,18313
Union,240,1109054
Upshur,13,63563
Upson,7,27153
Upton,2,3355
Utah,128,516564
Uvalde,5,26405
Val Verde,10,48879
Valdez-Cordova,3,9636
Valencia,18,76569
Valley,8,21491
Van Buren,24,106671
Van Wert,9,28744
Van Zandt,10,52579
Vance,10,45422
Vanderburgh,49,179703
Venango,16,54984
Ventura,174,823318
Vermilion,36,139624
Vermillion,5,16212
Vernon,25,103266
Victoria,23,86793
Vigo,28,107848
Vilas,5,21430
Vinton,3,13435
Virginia Beach,100,437994
Volusia,113,494593
Wabash,12,44835
Wabasha,6,21676
Wabaunsee,2,7053
Wade Hampton,1,7459
Wadena,3,13843
Wagoner,22,73085
Wahkiakum,1,3978
Wake,187,900993
Wakulla,4,30776
Waldo,8,38786
Walker,41,203640
Walla Walla,12,58781
Wallace,1,1485
Waller,6,43205
Wallowa,3,7008
Walsh,6,11119
Walthall,3,15443
Walton,26,138811
Walworth,24,107666
Wapello,11,35625
Ward,16,72333
Ware,9,36312
Warren,173,800645
Warrick,11,59689
Wasatch,4,23530
Wasco,8,25213
Waseca,5,19136
Washakie,3,8533
Washburn,5,15911
Washington,561,2520911
Washita,4,11629
Washoe,112,421407
Washtenaw,100,344791
Watauga,13,51079
Watonwan,3,11211
Waukesha,86,389891
Waupaca,12,52410
Waushara,7,24496
Wayne,767,2453456
Waynesboro,5,21006
Weakley,11,35021
Webb,61,250304
Weber,50,231236
Webster,45,155061
Weld,77,252825
Wells,9,31843
West Baton Rouge,5,23788
West Carroll,3,11604
West Feliciana,3,15625
Westchester,223,949113
Westmoreland,104,382623
Weston,2,7208
Wetzel,5,16583
Wexford,8,32735
Wharton,11,41280
Whatcom,34,201140
Wheatland,1,2168
Wheeler,6,15090
White,37,169369
White Pine,3,10030
Whiteside,18,58498
Whitfield,18,102599
Whitley,15,68929
Whitman,10,44776
Wibaux,1,1017
Wichita,38,133734
Wicomico,19,98733
Wilbarger,4,13535
Wilcox,8,20925
Wilkes,18,79933
Wilkin,2,6576
Wilkinson,5,19441
Will,152,677560
Willacy,6,22134
Williams,16,60040
Williamsburg,14,48491
Williamson,141,672218
Wilson,55,247554
Winchester,5,26203
Windham,43,162941
Windsor,18,56670
Winkler,3,7110
Winn,4,15313
Winnebago,121,473126
Winneshiek,5,21056
Winona,10,51461
Winston,12,43682
Wirt,2,5717
Wise,22,100579
Wolfe,2,7355
Wood,81,329157
Woodbury,26,102172
Woodford,17,63603
Woodruff,2,7260
Woods,3,8878
Woodson,2,3309
Woodward,5,20081
Worcester,189,850006
Worth,9,31448
Wrangell,1,2369
Wright,26,156744
Wyandot,6,22615
Wyandotte,70,157505
Wyoming,24,94227
Wythe,6,29235
Yadkin,7,38406
Yakima,45,243231
Yakutat,1,662
Yalobusha,3,12678
Yamhill,17,99193
Yancey,5,17818
Yankton,5,22438
Yates,5,25348
Yavapai,42,211033
Yazoo,6,28065
Yell,6,22185
Yellow Medicine,4,10438
Yellowstone,32,147972
Yoakum,2,7879
Yolo,41,200849
York,195,937305
Young,4,18550
Yuba,14,72155
Yukon-Koyukuk,4,5588
Yuma,57,205794
Zapata,3,14018
Zavala,4,11677
Ziebach,1,2801
